run,type,module,name,attrname,attrvalue,value
General-5-20240428-16:41:48-11295,runattr,,,iterationvars,$0=true,
General-5-20240428-16:41:48-11295,runattr,,,iterationvarsd,true,
General-5-20240428-16:41:48-11295,runattr,,,iterationvarsf,true-,
General-5-20240428-16:41:48-11295,runattr,,,measurement,$0=true,
General-5-20240428-16:41:48-11295,runattr,,,network,Supermarket,
General-5-20240428-16:41:48-11295,runattr,,,processid,11295,
General-5-20240428-16:41:48-11295,runattr,,,repetition,5,
General-5-20240428-16:41:48-11295,runattr,,,replication,#5,
General-5-20240428-16:41:48-11295,runattr,,,resultdir,results,
General-5-20240428-16:41:48-11295,runattr,,,runnumber,5,
General-5-20240428-16:41:48-11295,runattr,,,seedset,5,
General-5-20240428-16:41:48-11295,config,,,network,Supermarket,
General-5-20240428-16:41:48-11295,config,,,repeat,10,
General-5-20240428-16:41:48-11295,config,,,seed-set,5,
General-5-20240428-16:41:48-11295,config,,,num-rngs,10,
General-5-20240428-16:41:48-11295,config,,,**.use_random_strategy,true,
General-6-20240428-16:41:48-11295,runattr,,,configname,General,
General-6-20240428-16:41:48-11295,runattr,,,datetime,20240428-16:41:48,
General-6-20240428-16:41:48-11295,runattr,,,datetimef,20240428-164148,
General-6-20240428-16:41:48-11295,runattr,,,experiment,General,
General-6-20240428-16:41:48-11295,runattr,,,inifile,omnetpp.ini,
General-6-20240428-16:41:48-11295,runattr,,,iterationvars,$0=true,
General-6-20240428-16:41:48-11295,runattr,,,iterationvarsd,true,
General-6-20240428-16:41:48-11295,runattr,,,iterationvarsf,true-,
General-6-20240428-16:41:48-11295,runattr,,,measurement,$0=true,
General-6-20240428-16:41:48-11295,runattr,,,network,Supermarket,
General-6-20240428-16:41:48-11295,runattr,,,processid,11295,
General-6-20240428-16:41:48-11295,runattr,,,repetition,6,
General-6-20240428-16:41:48-11295,runattr,,,replication,#6,
General-6-20240428-16:41:48-11295,runattr,,,resultdir,results,
General-6-20240428-16:41:48-11295,runattr,,,runnumber,6,
General-6-20240428-16:41:48-11295,runattr,,,seedset,6,
General-6-20240428-16:41:48-11295,config,,,network,Supermarket,
General-6-20240428-16:41:48-11295,config,,,repeat,10,
General-6-20240428-16:41:48-11295,config,,,seed-set,6,
General-6-20240428-16:41:48-11295,config,,,num-rngs,10,
General-6-20240428-16:41:48-11295,config,,,**.use_random_strategy,true,
General-7-20240428-16:41:49-11295,runattr,,,configname,General,
General-7-20240428-16:41:49-11295,runattr,,,datetime,20240428-16:41:49,
General-7-20240428-16:41:49-11295,runattr,,,datetimef,20240428-164149,
General-7-20240428-16:41:49-11295,runattr,,,experiment,General,
General-7-20240428-16:41:49-11295,runattr,,,inifile,omnetpp.ini,
General-7-20240428-16:41:49-11295,runattr,,,iterationvars,$0=true,
General-7-20240428-16:41:49-11295,runattr,,,iterationvarsd,true,
General-7-20240428-16:41:49-11295,runattr,,,iterationvarsf,true-,
General-7-20240428-16:41:49-11295,runattr,,,measurement,$0=true,
General-7-20240428-16:41:49-11295,runattr,,,network,Supermarket,
General-7-20240428-16:41:49-11295,runattr,,,processid,11295,
General-7-20240428-16:41:49-11295,runattr,,,repetition,7,
General-7-20240428-16:41:49-11295,runattr,,,replication,#7,
General-7-20240428-16:41:49-11295,runattr,,,resultdir,results,
General-7-20240428-16:41:49-11295,runattr,,,runnumber,7,
General-7-20240428-16:41:49-11295,runattr,,,seedset,7,
General-7-20240428-16:41:49-11295,config,,,network,Supermarket,
General-7-20240428-16:41:49-11295,config,,,repeat,10,
General-7-20240428-16:41:49-11295,config,,,seed-set,7,
General-7-20240428-16:41:49-11295,config,,,num-rngs,10,
General-7-20240428-16:41:49-11295,config,,,**.use_random_strategy,true,
General-8-20240428-16:41:48-11298,runattr,,,configname,General,
General-8-20240428-16:41:48-11298,runattr,,,datetime,20240428-16:41:48,
General-8-20240428-16:41:48-11298,runattr,,,datetimef,20240428-164148,
General-8-20240428-16:41:48-11298,runattr,,,experiment,General,
General-8-20240428-16:41:48-11298,runattr,,,inifile,omnetpp.ini,
General-8-20240428-16:41:48-11298,runattr,,,iterationvars,$0=true,
General-8-20240428-16:41:48-11298,runattr,,,iterationvarsd,true,
General-8-20240428-16:41:48-11298,runattr,,,iterationvarsf,true-,
General-8-20240428-16:41:48-11298,runattr,,,measurement,$0=true,
General-8-20240428-16:41:48-11298,runattr,,,network,Supermarket,
General-8-20240428-16:41:48-11298,runattr,,,processid,11298,
General-8-20240428-16:41:48-11298,runattr,,,repetition,8,
General-8-20240428-16:41:48-11298,runattr,,,replication,#8,
General-8-20240428-16:41:48-11298,runattr,,,resultdir,results,
General-8-20240428-16:41:48-11298,runattr,,,runnumber,8,
General-8-20240428-16:41:48-11298,runattr,,,seedset,8,
General-8-20240428-16:41:48-11298,config,,,network,Supermarket,
General-8-20240428-16:41:48-11298,config,,,repeat,10,
General-8-20240428-16:41:48-11298,config,,,seed-set,8,
General-8-20240428-16:41:48-11298,config,,,num-rngs,10,
General-8-20240428-16:41:48-11298,config,,,**.use_random_strategy,true,
General-9-20240428-16:41:48-11298,runattr,,,configname,General,
General-9-20240428-16:41:48-11298,runattr,,,datetime,20240428-16:41:48,
General-9-20240428-16:41:48-11298,runattr,,,datetimef,20240428-164148,
General-9-20240428-16:41:48-11298,runattr,,,experiment,General,
General-9-20240428-16:41:48-11298,runattr,,,inifile,omnetpp.ini,
General-9-20240428-16:41:48-11298,runattr,,,iterationvars,$0=true,
General-9-20240428-16:41:48-11298,runattr,,,iterationvarsd,true,
General-9-20240428-16:41:48-11298,runattr,,,iterationvarsf,true-,
General-9-20240428-16:41:48-11298,runattr,,,measurement,$0=true,
General-9-20240428-16:41:48-11298,runattr,,,network,Supermarket,
General-9-20240428-16:41:48-11298,runattr,,,processid,11298,
General-9-20240428-16:41:48-11298,runattr,,,repetition,9,
General-9-20240428-16:41:48-11298,runattr,,,replication,#9,
General-9-20240428-16:41:48-11298,runattr,,,resultdir,results,
General-9-20240428-16:41:48-11298,runattr,,,runnumber,9,
General-9-20240428-16:41:48-11298,runattr,,,seedset,9,
General-9-20240428-16:41:48-11298,config,,,network,Supermarket,
General-9-20240428-16:41:48-11298,config,,,repeat,10,
General-9-20240428-16:41:48-11298,config,,,seed-set,9,
General-9-20240428-16:41:48-11298,config,,,num-rngs,10,
General-9-20240428-16:41:48-11298,config,,,**.use_random_strategy,true,
General-10-20240428-16:41:48-11298,scalar,Supermarket.cashiers[0],idleTimePerCashier:mean,,,3.5481231660364
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],idleTimePerCashier:mean,recordingmode,mean,
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],idleTimePerCashier:mean,source,updateIdleTime,
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],idleTimePerCashier:mean,title,"IdleTimePerCashier, mean",
General-10-20240428-16:41:48-11298,scalar,Supermarket.cashiers[0],serviceTimePerCashier:mean,,,29.64948016985
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],serviceTimePerCashier:mean,recordingmode,mean,
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],serviceTimePerCashier:mean,source,updateServiceTime,
General-10-20240428-16:41:48-11298,attr,Supermarket.cashiers[0],serviceTimePerCashier:mean,title,"ServiceTimePerCashier, mean",
